0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Midnight Masquerade Beardtongue,Penstemon Midnight Masquerade,Penstemon,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, glossy",1,2.5,1,1.5,Full sun to part shade,Dry to medium,"average, well-drained",4 to 9,TRUE,TRUE,,,,,,May to July,bronze-green,October to November,,"tubular flowers, attracts hummingbirds and bees, native prairie/edge",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Husker Red Beard Tongue,Penstemon digitalis Husker Red,Penstemon,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,3,5,1,1.5,Full sun,dry,"sand, loam, clay",4 to 9,TRUE,TRUE,Tolerant,,4,1,,Late Spring,bronze-green,October to November,,showy flowers,,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pocahontas Beardtongue,Penstemon digitalis Pocahontas,Penstemon,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,3,5,1,1.5,Full sun,dry,"sand, loam, clay",4 to 9,TRUE,TRUE,Tolerant,,4,1,,Late Spring,bronze-green,October to November,,showy flowers,,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Red Riding Hood Beardtongue,Penstemon digitalis Red Riding Hood,Penstemon,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,3,5,1,1.5,Full sun,dry,"sand, loam, clay",4 to 9,TRUE,TRUE,Tolerant,,4,1,,Late Spring,bronze-green,October to November,,showy flowers,,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Hairy Beard Tongue,Penstemon hirsutus,Penstemon,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate, opposite, glossy",1,2.5,1,1.5,Full sun to part shade,Dry to medium,"average, well-drained",4 to 9,TRUE,TRUE,,,9,5,lavender to white,May to June,bronze-green,October to November,,"hairy beardtongue, native prairie/edge plant",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie Pearl Hybrid Phlox,Phlox Minnie Pearl,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, green",1,3,1,2,Full sun,Medium,"average, medium, well-drained",3 to 9,,,,,,,,May to August,,,,"compact garden phlox, fragrant, mildew-resistant",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sand Phlox,Phlox bifida,Phlox,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate, opposite, green",0.5,1,1,2,Full sun,Dry to medium,"average, medium, well-drained",3 to 7,TRUE,,,,8,5,lavender to blue,April to May,,,,"sand phlox, fringed petals, rock garden",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Moon Woodland Phlox,Phlox divaricata Blue Moon,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,spreading mound,,"lanceolate, opposite, green",1,1.25,1,2,Part shade to full shade,Medium,"average, medium, well-drained",3 to 9,,,,,5,3,,April to May,,,,"fragrant spring flowers, shade-tolerant, woodland groundcover",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Forever Pink Hybrib Phlox,Phlox glaberrima Forever Pink,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,medium,2,3,1,2,Full sun to part shade,moist,"loam, clay",4 to 9,,,Intermediate,,,,,Late Spring,,,,showy flowers,,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Paradise Garden Phlox,Phlox paniculata Blue Paradise,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
First Editions Bubblegum Pink Phlox,Phlox paniculata Bubblegum Pink (Ditomfra),Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
First Editions Coral Creme Drop Phlox,Phlox paniculata Coral Creme Drop (Ditomdre),Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Candy Candy Store Garden Phlox,Phlox paniculata Cotton Candy,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
David Garden Phlox,Phlox paniculata David,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
FLAME Pro Baby Doll Garden Phlox,Phlox paniculata FLAME Pro baby Doll,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Glamour Girl Garden Phlox,Phlox paniculata Glamour Girl,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Grape Lollipop Candy Store Garden Phlox,Phlox paniculata Grape Lollipop,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Jeana Garden Phlox,Phlox paniculata Jeana,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Garden Phlox,Phlox paniculata Laura,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Nicky Garden Phlox,Phlox paniculata Nicky,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Perfection Garden Phlox,Phlox paniculata Orange Perfection,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, dark green",2,4,2,3,Full sun,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,0,3,,July to September,,,,"garden phlox, fragrant, mildew-prone in shade",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Grace Moss Phlox,Phlox subulata Amazing Grace,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Candy Stripe Moss Phlox,Phlox subulata Candy Stripe,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Drummonds Pink Moss Phlox,Phlox subulata Drummonds Pink,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Blue Moss Phlox,Phlox subulata Emerald Blue,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Pink Moss Phlox,Phlox subulata Emerald Pink,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Beauty Moss Phlox,Phlox subulata Purple Beauty,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Scarlet Flame Moss Phlox,Phlox subulata Scarlet Flame,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Snowflake Moss Phlox,Phlox subulata Snowflake,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Spring Pink Moss Phlox,Phlox subulata Soft Spring Pink,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
White Delight Moss Phlox,Phlox subulata White Delight,Phlox,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,fine,0.25,0.5,1.5,2.5,Full sun,moist,"sand, loam, clay",3 to 9,TRUE,TRUE,Intermediate,,0,5,,Early Spring,,,,"showy flowers, fall color",,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Jubilee Ninebark,Physocarpus Amber Jubilee,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",4,9,6,9,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,,,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Tiny Wine Common Ninebark,Physocarpus Tiny Wine,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",4,9,6,9,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,,,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Diabolo Common Ninebark,Physocarpus opulifolius Diabolo,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",5,9,6,10,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,8,-2,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Little Devil Common Ninebark,Physocarpus opulifolius Donna May,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",5,9,6,10,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,8,-2,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Wine Nine Bark,Physocarpus opulifolius Ginger Wine,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",5,9,6,10,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,8,-2,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Devil Ninebark,Physocarpus opulifolius Lucky Devil,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",5,9,6,10,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,8,-2,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Panther Ninebark,Physocarpus opulifolius Panther,Physocarpus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"lobed, alternate, dark green or purple cultivars",5,9,6,10,Full sun to part shade,Medium,"average, medium, well-drained",2 to 7,TRUE,TRUE,,,8,-2,,May to June,red to orange,October,,"ninebark, colorful foliage, white spring flowers, exfoliating bark",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
